,X,Y,label
0,-26.283514,-0.9340398,0
1,-22.458551,-1.5822463,0
2,-23.502516,-0.56836385,0
3,-22.724354,-0.50264597,0
4,-26.786913,-0.36447477,0
5,-28.650599,-0.7414289,0
6,-24.55087,0.18578772,0
7,-25.28618,-0.88646233,0
8,-21.671492,-0.70851713,0
9,-23.1788,-1.5042286,0
10,-27.7827,-1.2815049,0
11,-24.910156,-0.30312794,0
12,-22.324398,-1.168759,0
13,-22.014355,-0.088399485,0
14,-29.221983,-1.2927245,0
15,-29.810947,-0.76888365,0
16,-28.657406,-0.84534013,0
17,-26.255169,-0.88878155,0
18,-28.524948,-1.5071622,0
19,-27.977343,-0.30030122,0
20,-26.150957,-2.005682,0
21,-27.428848,-0.37460652,0
22,-26.111551,0.68443954,0
23,-24.888723,-1.7739034,0
24,-24.893246,-0.24599893,0
25,-22.673697,-1.8782525,0
26,-25.338697,-0.86266637,0
27,-26.498775,-1.2594861,0
28,-25.715376,-1.5442744,0
29,-23.55006,-0.60327095,0
30,-23.016209,-1.0235013,0
31,-26.09719,-2.033522,0
32,-29.16356,-0.20977183,0
33,-29.494766,-0.6570123,0
34,-23.223137,-1.4519137,0
35,-23.904205,-1.4729894,0
36,-26.934292,-1.8672361,0
37,-26.656511,0.060917623,0
38,-22.10482,-0.35763893,0
39,-25.500662,-1.2703669,0
40,-26.031933,-0.48852503,0
41,-20.512344,-0.9768451,0
42,-22.941101,0.15687196,0
43,-25.974865,-0.124093555,0
44,-28.089891,0.0012530349,0
45,-22.315758,-1.2060697,0
46,-27.977676,-0.29119915,0
47,-23.311502,-0.20485677,0
48,-27.639282,-1.0302558,0
49,-24.564756,-1.1743643,0
50,10.545622,2.931848,1
51,9.345686,3.1158135,1
52,10.5244255,2.568558,1
53,2.3666642,-1.1951859,2
54,7.766447,1.3284488,2
55,4.470755,1.086911,2
56,9.36028,3.5057898,1
57,1.163581,-0.5533549,2
58,8.12135,2.2210634,1
59,2.3764524,1.0210787,2
60,1.1907716,-1.3821913,2
61,5.8230286,2.065503,2
62,3.1802056,-1.8326277,2
63,6.6277957,1.1526481,2
64,3.8932376,1.8975694,2
65,9.601357,2.6489048,1
66,5.1366916,2.4770124,2
67,3.795253,0.32521403,2
68,4.2383027,-2.2951941,2
69,2.7084932,-0.38531065,2
70,9.08369,1.0809964,1
71,5.4568815,0.96864647,2
72,5.885322,-1.7613068,2
73,5.9305,0.7441689,2
74,7.3774157,2.004612,2
75,8.826847,2.4390662,1
76,8.402793,2.0279763,1
77,10.5591755,1.672321,1
78,6.293476,1.2754031,2
79,3.0589554,-0.19193368,2
80,2.2838693,-0.7198177,2
81,2.1942077,-0.75948787,2
82,3.7845857,0.5524804,2
83,7.0013433,-0.95285594,2
84,4.6181183,2.7349877,2
85,8.935071,3.8848557,1
86,9.943968,2.5072556,1
87,4.1951013,-2.1270263,2
88,4.553492,2.2529545,2
89,2.4375396,-0.049740158,2
90,2.825718,0.41857302,2
91,6.693994,1.7934055,2
92,3.4489439,0.007979896,2
93,1.2514929,-0.8219275,2
94,3.4025154,0.89379305,2
95,4.8162932,2.0682204,2
96,4.6445684,1.6531695,2
97,6.5495667,1.611125,2
98,1.394761,-0.28187227,2
99,4.115484,1.2150838,2
100,13.583465,-1.0313137,1
101,7.881903,-1.9465661,2
102,13.398383,1.6650501,1
103,9.875397,-0.20948316,1
104,11.905957,-0.29140258,1
105,14.210939,2.5570018,1
106,1.5051819,0.8295535,2
107,13.511847,2.7598996,1
108,6.571244,-2.6203218,2
109,15.020328,0.17861275,1
110,11.797357,0.4698781,1
111,8.691766,-1.1396204,1
112,12.371128,0.8567538,1
113,7.5744076,-2.5132377,2
114,8.94532,-2.364393,1
115,12.786782,-0.6348316,1
116,10.741182,0.5549999,1
117,15.535066,0.5640274,1
118,14.448543,3.3134956,1
119,4.3061285,-2.3340342,2
120,13.562058,0.52541554,1
121,8.27827,-2.224424,2
122,14.217924,3.0711699,1
123,7.7673807,-0.9669841,2
124,13.48486,-0.034625698,1
125,13.185796,2.0244982,1
126,8.007874,-0.5721052,2
127,8.891486,0.3416935,1
128,10.217356,-1.0088782,1
129,12.805119,2.6556082,1
130,13.73311,2.953431,1
131,15.583101,0.62808174,1
132,10.448798,-1.0913072,1
133,7.335585,0.21021336,2
134,6.321722,-1.228839,2
135,14.400955,2.4193351,1
136,13.587766,-1.1268933,1
137,10.844033,0.6643572,1
138,8.617509,0.3693236,1
139,12.824405,0.96912736,1
140,12.926679,0.023203982,1
141,12.963368,0.62438065,1
142,7.881903,-1.9465661,2
143,13.546475,0.28233635,1
144,13.831253,-0.3696659,1
145,12.38452,0.20085004,1
146,6.78258,-2.0737936,2
147,11.200541,0.22708061,1
148,13.349828,-1.2995105,1
149,8.691272,0.21379271,1
